OA;LHR;ATH;321
SU;LHR;SVO;320
UA;LHR;SFO;777
UN;LHR;MAN;333
UN;LHR;SFO;744
US;LHR;ATH;321
US;LHR;JFK;77W
VS;LHR;HND;77W
VS;LHR;JFK;346
VS;LHR;MAN;320
VS;LHR;SFO;744
;;;
A3;MAN;ATH;320
AA;MAN;JFK;757
AA;MAN;LHR;319
AY;MAN;JFK;757
BA;MAN;JFK;757
BA;MAN;LHR;319
FR;MAN;BCN;738
FR;MAN;MAD;738
FR;MAN;PFO;738
IB;MAN;JFK;757
IB;MAN;LHR;319
LH;MAN;FRA;32A
LS;MAN;BCN;738
LS;MAN;LCA;73H
LS;MAN;PFO;73H
LS;MAN;TLS;733
OA;MAN;ATH;320
PK;MAN;JFK;777
MT;MAN;LCA;321
MT;MAN;PFO;321
TO;MAN;LCA;73H
TO;MAN;PFO;73H
BY;MAN;LCA;73H
BY;MAN;PFO;75W
U2;MAN;ATH;320
U2;MAN;DME;319
U2;MAN;PFO;320
U2;MAN;SKG;320
UN;MAN;LHR;333
US;MAN;JFK;757
VS;MAN;LHR;320
ZB;MAN;BCN;321
ZB;MAN;LCA;321
ZB;MAN;PFO;321
;;;
AA;JFK;BCN;763
AA;JFK;LHR;777
AA;JFK;MAD;330
AA;JFK;MAN;757
AA;JFK;ORY;757
AA;JFK;SFO;32B
AF;JFK;BCN;333
AF;JFK;FRA;76W
AF;JFK;LHR;764
AF;JFK;MAD;764
AI;JFK;LHR;772
AS;JFK;SFO;321
AY;JFK;BCN;763
AY;JFK;LHR;744
AY;JFK;MAD;333
AY;JFK;MAN;757
B6;JFK;SFO;320
BA;JFK;BCN;763
BA;JFK;LHR;777
BA;JFK;MAD;333
BA;JFK;MAN;757
BA;JFK;ORY;752
DL;JFK;BCN;333
DL;JFK;FRA;76W
DL;JFK;LHR;764
DL;JFK;MAD;764
DL;JFK;SFO;752
DL;JFK;SVO;333
ET;JFK;FRA;744
IB;JFK;BCN;763
IB;JFK;LHR;744
IB;JFK;MAD;333
IB;JFK;MAN;757
IB;JFK;ORY;752
KL;JFK;BCN;330
KL;JFK;FRA;76W
KL;JFK;LHR;767
KL;JFK;MAD;767
KU;JFK;LHR;777
LH;JFK;FRA;388
MH;JFK;LHR;777
QR;JFK;BCN;763
SQ;JFK;FRA;388
SU;JFK;SVO;333
UA;JFK;FRA;388
UA;JFK;SFO;757
US;JFK;BCN;763
US;JFK;FRA;388
US;JFK;LHR;77W
US;JFK;MAD;757
US;JFK;MAN;757
US;JFK;SFO;32B
UX;JFK;MAD;332
VS;JFK;LHR;333
VX;JFK;SFO;320
;;;
AA;SFO;HND;787
AA;SFO;JFK;763
AA;SFO;LHR;744
AS;SFO;JFK;763
AY;SFO;LHR;744
B6;SFO;JFK;320
BA;SFO;LHR;744
DL;SFO;JFK;752
DL;SFO;LHR;744
IB;SFO;LHR;744
JL;SFO;HND;788
LH;SFO;FRA;744
LH;SFO;LHR;777
NZ;SFO;FRA;744
NZ;SFO;LHR;777
UA;SFO;FRA;744
UA;SFO;JFK;757
UA;SFO;LHR;777
UN;SFO;LHR;744
US;SFO;JFK;763
VS;SFO;LHR;744
VX;SFO;JFK;320
